utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_solar_generation_actual,AT_wind_onshore_generation_actual
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,6438,6166.39,0,86.58
2017-01-01T00:15:00Z,2017-01-01T01:15:00+0100,6344.4,6095.24,0,88.74
2017-01-01T00:30:00Z,2017-01-01T01:30:00+0100,6286.8,6056.5,0,85.97
2017-01-01T00:45:00Z,2017-01-01T01:45:00+0100,6192.4,6003.76,0,83.1
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,6220.4,6002.38,0,75.6
2017-01-01T01:15:00Z,2017-01-01T02:15:00+0100,6149.2,5948.69,0,73.93
2017-01-01T01:30:00Z,2017-01-01T02:30:00+0100,6051.2,5907.85,0,67.93
2017-01-01T01:45:00Z,2017-01-01T02:45:00+0100,5985.2,5859.4,0,70.79
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,5921.6,5811.94,0,73.23
2017-01-01T02:15:00Z,2017-01-01T03:15:00+0100,5856.8,5727.8,0,77.88
2017-01-01T02:30:00Z,2017-01-01T03:30:00+0100,5791.2,5693.55,0,73.1
2017-01-01T02:45:00Z,2017-01-01T03:45:00+0100,5752.4,5671.46,0,69.3
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,5708.8,5681.92,0,69.61
2017-01-01T03:15:00Z,2017-01-01T04:15:00+0100,5720,5672.2,0,67.5
2017-01-01T03:30:00Z,2017-01-01T04:30:00+0100,5703.6,5713.79,0,66.66
2017-01-01T03:45:00Z,2017-01-01T04:45:00+0100,5727.2,5675.58,0,72.21
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,5796,5785.21,0,75.46
2017-01-01T04:15:00Z,2017-01-01T05:15:00+0100,5813.6,5803.6,0,78.87
2017-01-01T04:30:00Z,2017-01-01T05:30:00+0100,5833.2,5785.76,0,78.79
2017-01-01T04:45:00Z,2017-01-01T05:45:00+0100,5830,5792.46,0,75.86
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,5724,5781.14,0,75.77
2017-01-01T05:15:00Z,2017-01-01T06:15:00+0100,5747.2,5782.87,0,74.71
2017-01-01T05:30:00Z,2017-01-01T06:30:00+0100,5786,5814.3,0,72.8
2017-01-01T05:45:00Z,2017-01-01T06:45:00+0100,5839.6,5861.29,0,68.24
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,6068.4,6216.43,7.83,67.31
2017-01-01T06:15:00Z,2017-01-01T07:15:00+0100,6148.4,6239.7,7.83,67.88
2017-01-01T06:30:00Z,2017-01-01T07:30:00+0100,6205.6,6266.26,7.83,63.6
2017-01-01T06:45:00Z,2017-01-01T07:45:00+0100,6247.6,6327.43,7.83,59.67
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,6304,6496.08,11.03,55.04
2017-01-01T07:15:00Z,2017-01-01T08:15:00+0100,6366.8,6593.47,15.08,55.93
2017-01-01T07:30:00Z,2017-01-01T08:30:00+0100,6436.4,6631.08,19.44,53.58
2017-01-01T07:45:00Z,2017-01-01T08:45:00+0100,6515.2,6691.49,24.26,53.8
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,6590.8,6857.3,36.61,59.35
2017-01-01T08:15:00Z,2017-01-01T09:15:00+0100,6653.6,6937.91,49.48,62.45
2017-01-01T08:30:00Z,2017-01-01T09:30:00+0100,6704.8,6968.02,62.6,59.64
2017-01-01T08:45:00Z,2017-01-01T09:45:00+0100,6759.6,7009.74,76.71,59.98
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,6828.8,7078.31,91.92,63.77
2017-01-01T09:15:00Z,2017-01-01T10:15:00+0100,6866.4,7093.75,106.57,62.2
2017-01-01T09:30:00Z,2017-01-01T10:30:00+0100,6909.6,7118.67,121.82,57.19
2017-01-01T09:45:00Z,2017-01-01T10:45:00+0100,6967.2,7149.83,135.99,55.01
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,6978,7193.59,147.12,55.21
2017-01-01T10:15:00Z,2017-01-01T11:15:00+0100,7017.6,7168.04,157.09,53.28
2017-01-01T10:30:00Z,2017-01-01T11:30:00+0100,7000,7166.4,166.68,48.05
2017-01-01T10:45:00Z,2017-01-01T11:45:00+0100,6965.6,7168.07,175.87,43.21
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,7002,7062.15,177.83,37.18
2017-01-01T11:15:00Z,2017-01-01T12:15:00+0100,6919.6,6989.49,178.94,39.55
2017-01-01T11:30:00Z,2017-01-01T12:30:00+0100,6850.8,6950.29,180.13,46.97
2017-01-01T11:45:00Z,2017-01-01T12:45:00+0100,6791.6,6903.54,180.66,45.67
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,6830,6858.14,173.2,43.1
2017-01-01T12:15:00Z,2017-01-01T13:15:00+0100,6753.6,6801.87,165.02,48.45
2017-01-01T12:30:00Z,2017-01-01T13:30:00+0100,6688,6787.85,156.83,51.16
2017-01-01T12:45:00Z,2017-01-01T13:45:00+0100,6694,6733.2,149.15,50.13
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,6692.4,6722.06,135.38,47.15
2017-01-01T13:15:00Z,2017-01-01T14:15:00+0100,6676.8,6680.92,120.99,41.84
2017-01-01T13:30:00Z,2017-01-01T14:30:00+0100,6689.2,6652.11,106.34,40.19
2017-01-01T13:45:00Z,2017-01-01T14:45:00+0100,6635.2,6636.62,92.07,41.45
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,6626.8,6697.68,76.69,48.43
2017-01-01T14:15:00Z,2017-01-01T15:15:00+0100,6686.4,6683.72,61.81,54
2017-01-01T14:30:00Z,2017-01-01T15:30:00+0100,6748,6689.13,47.13,53.06
2017-01-01T14:45:00Z,2017-01-01T15:45:00+0100,6804,6696.52,33.14,58.51
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,6930.4,6942.67,26.32,62.11
2017-01-01T15:15:00Z,2017-01-01T16:15:00+0100,7040.8,6973.2,20,60.85
2017-01-01T15:30:00Z,2017-01-01T16:30:00+0100,7216.8,7039.6,13.73,56.75
2017-01-01T15:45:00Z,2017-01-01T16:45:00+0100,7406.4,7144.26,8.01,59.02
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,7617.2,7418.71,7.97,60.21
2017-01-01T16:15:00Z,2017-01-01T17:15:00+0100,7704,7524.42,7.92,55.53
2017-01-01T16:30:00Z,2017-01-01T17:30:00+0100,7745.6,7593.28,7.88,54.35
2017-01-01T16:45:00Z,2017-01-01T17:45:00+0100,7756.4,7648.78,7.83,52.89
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,7855.2,7740.87,7.83,47.79
2017-01-01T17:15:00Z,2017-01-01T18:15:00+0100,7834,7748.67,7.83,41.67
2017-01-01T17:30:00Z,2017-01-01T18:30:00+0100,7838.8,7761.65,7.83,40.47
2017-01-01T17:45:00Z,2017-01-01T18:45:00+0100,7785.6,7748.97,7.83,39.4
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,7637.6,7603.6,0,36.6
2017-01-01T18:15:00Z,2017-01-01T19:15:00+0100,7560,7572.99,0,35.33
2017-01-01T18:30:00Z,2017-01-01T19:30:00+0100,7472.8,7564.39,0,34.37
2017-01-01T18:45:00Z,2017-01-01T19:45:00+0100,7381.2,7521.98,0,38.16
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,7330,7267.01,0,37.4
2017-01-01T19:15:00Z,2017-01-01T20:15:00+0100,7240,7206.37,0,34.06
2017-01-01T19:30:00Z,2017-01-01T20:30:00+0100,7146.4,7187.09,0,35.54
2017-01-01T19:45:00Z,2017-01-01T20:45:00+0100,7020.4,7127.66,0,37.31
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,6890,6905.47,0,35.05
2017-01-01T20:15:00Z,2017-01-01T21:15:00+0100,6806,6864.67,0,32.83
2017-01-01T20:30:00Z,2017-01-01T21:30:00+0100,6734.8,6861.03,0,31.98
2017-01-01T20:45:00Z,2017-01-01T21:45:00+0100,6724,6869.71,0,36.23
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,7022.8,7133.54,0,44.65
2017-01-01T21:15:00Z,2017-01-01T22:15:00+0100,7003.2,7140.06,0,44.43
2017-01-01T21:30:00Z,2017-01-01T22:30:00+0100,6848,7099.96,0,43.16
2017-01-01T21:45:00Z,2017-01-01T22:45:00+0100,6749.6,7023.56,0,41.25
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,6815.6,6785.84,0,39.51
2017-01-01T22:15:00Z,2017-01-01T23:15:00+0100,6666.8,6698.7,0,40.41
2017-01-01T22:30:00Z,2017-01-01T23:30:00+0100,6570.4,6653.69,0,44.48
2017-01-01T22:45:00Z,2017-01-01T23:45:00+0100,6477.6,6619.88,0,47.45
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,6498,6883.64,0,49.6
2017-01-01T23:15:00Z,2017-01-02T00:15:00+0100,6407.2,6803.1,0,48.68
2017-01-01T23:30:00Z,2017-01-02T00:30:00+0100,6297.2,6755.09,0,47.87
2017-01-01T23:45:00Z,2017-01-02T00:45:00+0100,6210.4,6703.63,0,46.96
